url,img,discription
https://www.amazon.com/Govee-Modern-Assistant-Million-Bedroom/dp/B099WTN2TR/ref=lp_21217035011_1_1?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=9ZOMT9Jm0JH%2Ft%2BWi68iDSA%3D%3D,./AmazonData_files/61SdRNLwZzL._AC_UL320_.jpg,"Govee RGBIC Floor Lamp Basic, 1000lm LED Corner Lamp Compatible with SmartThings, Alexa, and Matter, Modern Floor Lamp wit..."
https://www.amazon.com/Lutron-3-Button-Wireless-Lighting-PJ2-3BRL-WH-L01R/dp/B00KLAXFQ0/ref=lp_21217035011_1_2?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,./AmazonData_files/51zNdEaqsiL._AC_UL320_.jpg,"Lutron Pico Remote for Caseta Smart Dimmer Switch, 3-Button Control with Raise/Lower and Preset Lighting Level, For Table ..."
https://www.amazon.com/Govee-Changing-Dynamic-Bluetooth-Assistant/dp/B09B7NQT2K/ref=lp_21217035011_1_3?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,./AmazonData_files/61G5-oBZmzL._AC_UL320_.jpg,"Govee Smart Light Bulbs, Color Changing Light Bulb, Work with Alexa and Google Assistant, 16 Million Colors RGBWW, WiFi & ..."
https://www.amazon.com/TP-Link-Accessory-TL-HS200-Smart-Monitoring/dp/B01EZV35QU/ref=lp_21217035011_1_4?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,./AmazonData_files/611JGGx4DPL._AC_UL320_.jpg,"Kasa Smart Light Switch HS200, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Google Home, UL Certi..."
https://www.amazon.com/Lutron-Wireless-Lighting-P-BDG-PKG2W-Assistant/dp/B01M3XJUAD/ref=lp_21217035011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=9ZOMT9Jm0JH%2Ft%2BWi68iDSA%3D%3D,./AmazonData_files/51swqnRssZL._AC_UL320_.jpg,"Lutron Caseta Deluxe Smart Dimmer Switch Kit, 2 Dimmer Switches, 2 Wall Plates, 2 Pico Remotes, and Smart Hub, No Neutral ..."
https://www.amazon.com/Philips-Hue-Bluetooth-Compatible-Assistant/dp/B08D9N7RJ4/ref=lp_21217035011_1_6?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,./AmazonData_files/61FU5sGvhHL._AC_UL320_.jpg,Philips Hue A19 LED Smart Light Bulb 3-Pack - White and Color Ambiance - 60W Indoor Light Bulb - Control with Hue App - Wo...
https://www.amazon.com/Philips-Hue-Installation-Free-Exclusively-562777/dp/B08W8GLPD5/ref=lp_21217035011_1_7?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,./AmazonData_files/5134Diycx6L._AC_UL320_.jpg,"PHILIPS Hue Smart Dimmer Switch Remote, White, 1 Pack, Turns Hue Lights On, Off, Dims or Brightens, Smart Home Control, Re..."
https://www.amazon.com/Lutron-Wireless-Lighting-P-PKG1P-WH-Assistant/dp/B00JJY1QG0/ref=lp_21217035011_1_8?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,./AmazonData_files/51QKYtJ4ECL._AC_UL320_.jpg,"Lutron Caseta Plug-In Smart Lamp Dimmer Switch Kit with Pico Remote (Lutron Hub Required), Smart Light Switch Dimmer for F..."
https://www.amazon.com/Govee-Changing-Bluetooth-Dimmable-Assistant/dp/B09B7QNYHR/ref=lp_21217035011_1_9?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=9ZOMT9Jm0JH%2Ft%2BWi68iDSA%3D%3D,./AmazonData_files/61xhRLouFTL._AC_UL320_.jpg,"Govee Smart Light Bulbs, WiFi & Bluetooth Color Changing Light Bulbs, Music Sync, 16 Million DIY Colors RGBWW Color Lights..."
https://www.amazon.com/Fibaro-FGPB-101-6-US-Button-Controller/dp/B01M6CSO3Q/ref=lp_21217035011_1_10?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=PHBG29P7BYTHVTRFMGE9&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,./AmazonData_files/51H106sXzKL._AC_UL320_.jpg,"FIBARO The Button Z-Wave Plus Scene Controller On-Off Trigger, FGPB-101-6, Blue"
