url,img,discription
https://www.ebay.com/b/Cell-Phones-Smartphones/9355/bn_320094,./ebay_files/s_1x2.gif,eBay item
https://www.ebay.com/b/Cell-Phones-Smartphones/9355/bn_320094,./ebay_files/s_1x2.gif,eBay item
https://www.ebay.com/p/11056248070?iid=355095070816&var=624350343869,./ebay_files/s-l960(7).webp,Apple iPhone 14 128GB Network Unlocked Very Good Condition - Image 1 of 1
https://www.ebay.com/itm/386936766515?itmmeta=01KWF1MP4XGMN5MB5XCYN6ZBMP&hash=item5a173a8033:g:fe4AAOSwVkRmIHzv&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqtqiBRS9IPy67MwDdNlgVLbjpmZm7AaNj%2FAIzZIi9ANK1E11ZL6m26myOSp%2FtzhVIFzkBQJHjUTAqOgAfcHbTS6EL%2BzFdaiTXq8g237przKfrurG8aT3l996Yco5YaAkmZtFWoXOJHYRq7KQHoW2FnoFjw4YxmAqPVKWrXiKhckvcNRKIHaNsqttKFHtzTv%2BuUlMLA7066MIitqfbV7JVo6%2F2ZZZRObMabJ%2BmLg1lHDhW4ov2UT18ViX36qbflryO6T4bO%2BPp%2BUxZx2W7eCYHn%7Ctkp%3ABFBMxuLS4eNn&var=654209735299,./ebay_files/s-l960(8).webp,Apple iPhone 12 64/128GB - Fully Unlocked AT&T T-Mobile Verizon - All colors - Image 1 of 4
https://www.ebay.com/itm/235791104766?epid=6041725417&itmmeta=01KWF1MP4Y6DW92YE2BVC68DY5&hash=item36e63ebafe:g:HlMAAOSwjzhkCfsi&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuquUXF6eEFtvQYKWOwpAvH39YqvAc2N3OzpQ1Ka3fVedcTnSpoqCdShBW7mlM81kmjkeGj46jc%2BEYGFAMAtFSTd3%2FrA3EDBi5U4fZqARfeWDGH6UyxAddGHG%2BLfZYDo5grWPPevpLN%2BvDoanzl70QdmCSMSxvqg%2FhrdQ6yustql8TF5P2%2Fs1qwucCVyl7ZhplSY17F5jMdDNqGR5HMlpwWr6ZaDobM5rnXEwKZcaOkYlYQe3i%2FZ3jkQHWHiWhGwMqeHD1h82ziYI6EWf%2Fpcsri5%7Ctkp%3ABFBMxuLS4eNn&var=536172944495,./ebay_files/s-l960(9).webp,"Apple iPhone 12 Pro, 128/256/512GB - Fully Unlocked - Used Very Good - Image 1 of 4"
https://www.ebay.com/itm/235272916954?epid=19049287637&itmmeta=01KWF1MP4YAK7R9AZ09KR9YDYP&hash=item36c75bcfda:g:sMQAAOSwcSFkCfCZ&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Lupe9sPh7MMkH2pu1OlNSm2pZrqczlLwibVBbL7SxH5vE1%2BfKoqyPif%2BNs4FTNu1TzCF15Qbt348D%2FLe2huc2VAWr9ta%2F8mGsjOmLmXwQrxmImsZZbTykpBx%2BkiOeB%2B7yxrcEm%2F8q%2Fw7YQO2halmuMhWDfHa4yc59wGYjb%2BhJeMyH8yrg80icEuPh10UF41%2FuwvXDG41vGKVa1%2BF7MPt2X8Nj2OdOu46dfO4%2Fvc7VH1r3%2FyStrfzhv7GhZOR3WTPUYglD48r0zV0RJwXdCLO8C%2FF%7Ctkp%3ABFBMxuLS4eNn&var=535304101296,./ebay_files/s-l960(10).webp,"Apple iPhone 13, 128/256/512GB - Fully Unlocked - Used - All colors - Image 1 of 4"
https://www.ebay.com/p/2327306603?iid=127863462355&var=429064532076,./ebay_files/s-l960(11).webp,Apple iPhone 14 A2649 128GB Good Condition All Colors - Image 1 of 2
https://www.ebay.com/p/10041718568?iid=156833155405&var=458248164826,./ebay_files/s-l960(12).webp,Apple iPhone 12 64GB 128GB 256GB Unlocked Smartphone - Good - Image 1 of 1
https://www.ebay.com/p/235174040?iid=326869176910&var=515821960980,./ebay_files/s-l960(13).webp,"Apple iPhone SE 3rd Gen (Great Condition) - (Unlocked, AT&T, T-Mobile, Verizon) - Image 1 of 4"
https://www.ebay.com/p/3072579174?iid=255865325274&var=555803153093,./ebay_files/s-l960(14).webp,Samsung Galaxy S22 128GB S901U Unlocked - Good - Image 1 of 1
