img,url,discription
https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,,eBay item
https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,,eBay item
https://i.ebayimg.com/images/g/uVkAAeSwBgRoL8gl/s-l960.webp,https://www.ebay.com/p/3059049812?iid=256372558330&var=556609785242,Samsung Galaxy S23+ 256GB S916U Unlocked - Good - Image 1 of 1
https://i.ebayimg.com/images/g/lK0AAOSwSeFkGfyu/s-l960.webp,https://www.ebay.com/itm/236252802371?itmmeta=01KWF3J2QTBDZZK156MFA9PNKQ&hash=item3701c3ad43:g:lK0AAOSwSeFkGfyu&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Lur%2BaEmb%2BbqEfpvCT0pcFZCBsYMjpuhZa9jjjK5NsCnr4dFTVYoOwehWAYJL1NLqqNrIjPfgON3ufUMf8A6YkH6NHYUvzbWQa2GRAHckERpVRLlYLRD%2Bp1N3Z5DFSngSHEuuG4zZVi3VdkE2gkYGRjtsahuQiYtGM6B77jpCOIPEem2dSqM3%2FlQIqA7fpIrEvFhoxlNgYKtg3nBC4r1pnJdTUfb3nWjXHcDG%2FAe49HASmo9ylFxysWd5Ci82qoHTzeUiAJT9pfHr9UO6CMzB1Hms%7Ctkp%3ABFBMiqzI4-Nn&var=536813118479,Apple iPhone SE 3rd Gen (2022) 64/128/256GB-Unlocked -Refurbished Excellent - Image 1 of 4
https://i.ebayimg.com/images/g/gIgAAeSwyFxqFyo~/s-l960.webp,https://www.ebay.com/itm/227335612240?epid=16063124315&itmmeta=01KWF3J2QTZ48ZR7XXX61VVB3J&hash=item34ee422750:g:gIgAAeSwyFxqFyo~&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LupUZiy9B3Qt37XGMGa%2Bvb3vodJNAU330Sb6%2FUGpxRue0BujSitcENOxBD6ws0pDgfMhSQVm7AtdyCASLJvkqmgrU1GY--CoaZ94Mqc%2FBjS7LB1AsNzrxzR3bVo%2FN%2Fr5%2BIWPS4YQaVBro55ESMimdNt29ElxHnvwe%2BxERxJ2pyKOr3vmFAPs1CvPEHwnFShOcGq6IenUtItpu7uVmaA2QxfWOQajdFp6Obzjn9dhtK%2Bi5gJa8xvYuWbgCjBu70ZlmTe2UHu1X%2FB%2BSiwMO%2BUnmM%2B5%7Ctkp%3ABFBMiqzI4-Nn&var=526538434171,Google Pixel 8 128GB - Rose/Hazel/Obsidian/Mint - Unlocked - Excellent Condition - Image 1 of 1
https://i.ebayimg.com/images/g/-fMAAOSwB9hmDr8C/s-l960.webp,https://www.ebay.com/itm/386907028443?epid=240377022&itmmeta=01KWF3J2QT70FHP8WXRHRGE617&hash=item5a1574bbdb:g:-fMAAOSwB9hmDr8C&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurD7o89GXnYj%2BK0fAN0yy1YxHpXRAc6US7KNx5GeqURbtA1tle%2BLJ8et%2FA5fx8ejdF%2FoufqP8qAGtB5jWGL1xzYhxY3oUveLy7jIGPoMvORqTcjamZV65hGB933mLlYIkMz9jYpweFSek5dP2MXC79wF%2BU6jaMFZbt6XU462MRAyw3BS5DvQProEKPDxGhl5mRbkT8l%2BFUEfayoGSQEaBC1a7lRZF%2BWJMO%2Bpnp3Bmutk4dEM69uIDaz%2F0omC1FIed%2FKYa6%2BS5hxVFy0JTu9TIUh%7Ctkp%3ABFBMjKzI4-Nn&var=654168027224,Apple iPhone X - 64-256GB - Fully Unlocked - VERY GOOD Condition - FACE ID - Image 1 of 3
https://i.ebayimg.com/images/g/xSYAAOSwLd5lJIrP/s-l960.webp,https://www.ebay.com/p/20056257992?iid=355095070816&var=624350343870,Apple iPhone 14 128GB Network Unlocked Very Good Condition - Image 1 of 1
https://i.ebayimg.com/images/g/QJAAAeSwDahpSPNN/s-l400.webp,https://www.ebay.com/itm/397652414560?itmmeta=01KWF3J2QT98E925ZQHMFYPCC9&hash=item5c95ee5060:g:QJAAAeSwDahpSPNN&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuoIO9M0doiS%2Bp8P0boKBp%2FtVvDhOaL16d5gk16lAK5pbc6en4prVEgmSAePCMlREsepNghw7fvRqFzgORcQZfiw49GH0up4y12UMQZNAMusc0nNlZQuFA3ZMt6aV%2BfuyGS8ibuvP4AZcKr79VdjP%2BG9pN4T836F%2BhVu0EYVghNZmHmsZR6FaOTn3xCc0UQAjCfq%2BeV6%2BH6A2y7C1Edm%2B8lCNrOOGWIg%2FknSY2rahUn4JRuUFcoCel2KjBCqTjlBeO%2B%2FVWGJ9q9BPmGGxj2lkuy5%7Ctkp%3ABk9SR4ysyOPjZw,65W Type USB C Super Fast Wall Charger+3ft Cable For Samsung Galaxy S22 S21 S23 - Image 1 of 4
https://i.ebayimg.com/images/g/JnUAAOSw7NxmLl3S/s-l400.webp,https://www.ebay.com/p/10059052247?iid=116285984225&var=417211256157,Samsung Galaxy S23 Ultra 256GB SM-S918U1 Factory Unlocked - Excellent - Image 1 of 2
https://i.ebayimg.com/images/g/d7YAAeSwAwJonzzK/s-l960.webp,https://www.ebay.com/p/9072660290?iid=257067128532&var=557714094541,Samsung Galaxy Z Flip5 512GB F731U Unlocked - Good - Image 1 of 1
https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,https://www.ebay.com/p/4064918154?iid=256652847329&var=557536210133,Samsung Galaxy S24 Ultra 512GB S928U Unlocked - Good - Image 1 of 2
https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,https://www.ebay.com/p/17061973340?iid=257066123753&var=557712391317,Samsung Galaxy Z Fold5 512GB F946U Unlocked - Good - Image 1 of 1
https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,https://www.ebay.com/p/18058729662?iid=256413667885&var=557304798663,Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Good - Image 1 of 1
